Date,Open,High,Low,Close,Adj Close,Volume
2023-07-27,1.166600,1.170150,1.162800,1.166600,1.166600,0
2023-07-28,1.165250,1.169600,1.164200,1.165250,1.165250,0
2023-07-31,1.165870,1.167870,1.163800,1.165870,1.165870,0
2023-08-01,1.166910,1.169390,1.161870,1.166910,1.166910,0
2023-08-02,1.162330,1.164790,1.158870,1.162330,1.162330,0
2023-08-03,1.162220,1.163090,1.155460,1.162220,1.162220,0
2023-08-04,1.161070,1.162550,1.156300,1.161070,1.161070,0
2023-08-07,1.158560,1.161870,1.157500,1.158560,1.158560,0
2023-08-08,1.161600,1.162390,1.159400,1.161600,1.161600,0
2023-08-09,1.162600,1.164070,1.157900,1.162600,1.162600,0
2023-08-10,1.158580,1.159060,1.154570,1.158580,1.158580,0
2023-08-11,1.153570,1.159140,1.153400,1.153570,1.153570,0
2023-08-14,1.159890,1.162420,1.158330,1.159890,1.159890,0
2023-08-15,1.162400,1.166060,1.161500,1.162400,1.162400,0
2023-08-16,1.164730,1.169530,1.163400,1.164730,1.164730,0
2023-08-17,1.170320,1.172700,1.168670,1.170320,1.170320,0
2023-08-18,1.172230,1.172510,1.168480,1.172230,1.172230,0
2023-08-21,1.171520,1.171750,1.167600,1.171520,1.171520,0
2023-08-22,1.170800,1.174390,1.169900,1.170800,1.170800,0
2023-08-23,1.173710,1.177090,1.167430,1.173710,1.173710,0
2023-08-24,1.170660,1.171150,1.165690,1.170660,1.170660,0
2023-08-25,1.166020,1.168110,1.164810,1.166020,1.166020,0
2023-08-28,1.165700,1.166150,1.162700,1.165700,1.165700,0
2023-08-29,1.164880,1.167230,1.161810,1.164880,1.164880,0
2023-08-30,1.162550,1.164880,1.161400,1.162550,1.162550,0
2023-08-31,1.162910,1.168660,1.162960,1.162910,1.162910,0
2023-09-01,1.168200,1.169740,1.166400,1.168200,1.168200,0
2023-09-04,1.168380,1.170340,1.168000,1.168380,1.168380,0
2023-09-05,1.169610,1.172920,1.165800,1.169610,1.169610,0
2023-09-06,1.171970,1.172360,1.165970,1.171970,1.171970,0
2023-09-07,1.165410,1.166340,1.162600,1.165410,1.165410,0
2023-09-08,1.166000,1.166900,1.164150,1.166000,1.166000,0
2023-09-11,1.165210,1.168430,1.165000,1.165210,1.165210,0
2023-09-12,1.163700,1.165940,1.162600,1.163700,1.163700,0
2023-09-13,1.161400,1.163780,1.158600,1.161400,1.161400,0
2023-09-14,1.163590,1.165450,1.160810,1.163590,1.163590,0
2023-09-15,1.165940,1.166790,1.160840,1.165940,1.165940,0
2023-09-18,1.161990,1.162760,1.158900,1.161990,1.161990,0
2023-09-19,1.158060,1.160240,1.157600,1.158060,1.158060,0
2023-09-20,1.160130,1.160300,1.154600,1.160130,1.160130,0
2023-09-21,1.157300,1.159000,1.150940,1.157300,1.157300,0
2023-09-22,1.153020,1.154310,1.149330,1.153020,1.153020,0
2023-09-25,1.149510,1.153480,1.149000,1.149510,1.149510,0
2023-09-26,1.153010,1.153500,1.148500,1.153010,1.153010,0
2023-09-27,1.149130,1.154920,1.148970,1.149130,1.149130,0
2023-09-28,1.155050,1.158480,1.154300,1.155050,1.155050,0
2023-09-29,1.155390,1.157030,1.151950,1.155390,1.155390,0
2023-10-02,1.153800,1.155550,1.152600,1.153800,1.153800,0
2023-10-03,1.153560,1.154600,1.150500,1.153560,1.153560,0
2023-10-04,1.153500,1.157250,1.151850,1.153500,1.153500,0
2023-10-05,1.155090,1.156160,1.152780,1.155090,1.155090,0
2023-10-06,1.155500,1.157180,1.154290,1.155500,1.155500,0
2023-10-09,1.156360,1.158240,1.155000,1.156360,1.156360,0
